series,episode,name,date,player,total
9,2,Butter in the microwave.,2019-09-11,Katy Wix,18
9,2,Butter in the microwave.,2019-09-11,Ed Gamble,19
9,3,Five miles per day.,2019-09-18,Jo Brand,15
9,3,Five miles per day.,2019-09-18,David Baddiel,17
9,3,Five miles per day.,2019-09-18,Ed Gamble,17
9,3,Five miles per day.,2019-09-18,Rose Matafeo,20
9,3,Five miles per day.,2019-09-18,Katy Wix,23
9,4,Quisps.,2019-09-25,Katy Wix,11
9,4,Quisps.,2019-09-25,David Baddiel,12
9,4,Quisps.,2019-09-25,Ed Gamble,16
9,4,Quisps.,2019-09-25,Jo Brand,16
9,4,Quisps.,2019-09-25,Rose Matafeo,18
9,5,Another spoon.,2019-10-02,David Baddiel,12
9,5,Another spoon.,2019-10-02,Ed Gamble,14
9,5,Another spoon.,2019-10-02,Katy Wix,16
9,5,Another spoon.,2019-10-02,Rose Matafeo,18
9,5,Another spoon.,2019-10-02,Jo Brand,19
9,6,Bready bready bready.,2019-10-09,David Baddiel,10
9,6,Bready bready bready.,2019-10-09,Katy Wix,13
9,6,Bready bready bready.,2019-10-09,Rose Matafeo,14
9,6,Bready bready bready.,2019-10-09,Jo Brand,16
9,6,Bready bready bready.,2019-10-09,Ed Gamble,19
9,7,A cuddle.,2019-10-16,Rose Matafeo,11
9,7,A cuddle.,2019-10-16,David Baddiel,14
9,7,A cuddle.,2019-10-16,Ed Gamble,17
9,7,A cuddle.,2019-10-16,Jo Brand,22
9,7,A cuddle.,2019-10-16,Katy Wix,24
9,8,Shaqinahat.,2019-10-23,David Baddiel,10
9,8,Shaqinahat.,2019-10-23,Jo Brand,15
9,8,Shaqinahat.,2019-10-23,Katy Wix,15
9,8,Shaqinahat.,2019-10-23,Rose Matafeo,17
9,8,Shaqinahat.,2019-10-23,Ed Gamble,20
9,9,Don't like them go bang.,2019-10-30,Jo Brand,14
9,9,Don't like them go bang.,2019-10-30,Ed Gamble,17
9,9,Don't like them go bang.,2019-10-30,Katy Wix,17
9,9,Don't like them go bang.,2019-10-30,Rose Matafeo,17
9,9,Don't like them go bang.,2019-10-30,David Baddiel,19
9,10,Think about the spirit.,2019-11-06,Katy Wix,9
9,10,Think about the spirit.,2019-11-06,David Baddiel,10
9,10,Think about the spirit.,2019-11-06,Jo Brand,10
9,10,Think about the spirit.,2019-11-06,Ed Gamble,12
9,10,Think about the spirit.,2019-11-06,Rose Matafeo,12
10,1,God's haemorrhoid.,2020-10-15,Katherine Parkinson,6
10,1,God's haemorrhoid.,2020-10-15,Mawaan Rizwan,8
10,1,God's haemorrhoid.,2020-10-15,Johnny Vegas,10
10,1,God's haemorrhoid.,2020-10-15,Daisy May Cooper,11
10,1,God's haemorrhoid.,2020-10-15,Richard Herring,12
10,2,A documentary about a despot.,2020-10-22,Johnny Vegas,15
10,2,A documentary about a despot.,2020-10-22,Mawaan Rizwan,16
10,2,A documentary about a despot.,2020-10-22,Daisy May Cooper,18
10,2,A documentary about a despot.,2020-10-22,Katherine Parkinson,19
10,2,A documentary about a despot.,2020-10-22,Richard Herring,19
10,3,Point of swivel.,2020-10-29,Katherine Parkinson,7
10,3,Point of swivel.,2020-10-29,Mawaan Rizwan,14
10,3,Point of swivel.,2020-10-29,Richard Herring,15
10,3,Point of swivel.,2020-10-29,Johnny Vegas,17
10,3,Point of swivel.,2020-10-29,Daisy May Cooper,19
10,4,Toshwash.,2020-11-05,Mawaan Rizwan,13
10,4,Toshwash.,2020-11-05,Richard Herring,13
10,4,Toshwash.,2020-11-05,Katherine Parkinson,15
10,4,Toshwash.,2020-11-05,Johnny Vegas,17
10,4,Toshwash.,2020-11-05,Daisy May Cooper,19
10,5,I hate your trainers.,2020-11-12,Johnny Vegas,15
10,5,I hate your trainers.,2020-11-12,Mawaan Rizwan,17
10,5,I hate your trainers.,2020-11-12,Katherine Parkinson,20
10,5,I hate your trainers.,2020-11-12,Daisy May Cooper,24
10,5,I hate your trainers.,2020-11-12,Richard Herring,26
10,6,Hippopotamus.,2020-11-19,Katherine Parkinson,10
10,6,Hippopotamus.,2020-11-19,Richard Herring,12
10,6,Hippopotamus.,2020-11-19,Daisy May Cooper,14
10,6,Hippopotamus.,2020-11-19,Johnny Vegas,19
10,6,Hippopotamus.,2020-11-19,Mawaan Rizwan,22
10,7,Legit glass.,2020-11-26,Richard Herring,9
10,7,Legit glass.,2020-11-26,Daisy May Cooper,11
10,7,Legit glass.,2020-11-26,Katherine Parkinson,13
10,7,Legit glass.,2020-11-26,Johnny Vegas,16
10,7,Legit glass.,2020-11-26,Mawaan Rizwan,16
10,8,Moments of silence.,2020-12-03,Daisy May Cooper,7
10,8,Moments of silence.,2020-12-03,Mawaan Rizwan,10
10,8,Moments of silence.,2020-12-03,Johnny Vegas,12
10,8,Moments of silence.,2020-12-03,Katherine Parkinson,12
10,8,Moments of silence.,2020-12-03,Richard Herring,18
10,9,Air Horn Andy.,2020-12-10,Katherine Parkinson,6
10,9,Air Horn Andy.,2020-12-10,Johnny Vegas,9
10,9,Air Horn Andy.,2020-12-10,Mawaan Rizwan,18
10,9,Air Horn Andy.,2020-12-10,Daisy May Cooper,20
10,9,Air Horn Andy.,2020-12-10,Richard Herring,21
10,10,Dog meat trifle.,2020-12-17,Johnny Vegas,9
10,10,Dog meat trifle.,2020-12-17,Katherine Parkinson,10
10,10,Dog meat trifle.,2020-12-17,Daisy May Cooper,15
10,10,Dog meat trifle.,2020-12-17,Mawaan Rizwan,17
10,10,Dog meat trifle.,2020-12-17,Richard Herring,17
11,1,It's not your fault.,2021-03-18,Charlotte Ritchie,5
11,1,It's not your fault.,2021-03-18,Jamali Maddix,7
11,1,It's not your fault.,2021-03-18,Lee Mack,17
11,1,It's not your fault.,2021-03-18,Mike Wozniak,17
11,1,It's not your fault.,2021-03-18,Sarah Kendall,18
11,2,The Lure of the Treacle Puppies.,2021-03-25,Charlotte Ritchie,12
11,2,The Lure of the Treacle Puppies.,2021-03-25,Jamali Maddix,13
11,2,The Lure of the Treacle Puppies.,2021-03-25,Lee Mack,16
11,2,The Lure of the Treacle Puppies.,2021-03-25,Sarah Kendall,17
11,2,The Lure of the Treacle Puppies.,2021-03-25,Mike Wozniak,21
11,3,Run up a tree to the moon.,2021-04-01,Charlotte Ritchie,11
11,3,Run up a tree to the moon.,2021-04-01,Jamali Maddix,11
11,3,Run up a tree to the moon.,2021-04-01,Mike Wozniak,13
11,3,Run up a tree to the moon.,2021-04-01,Lee Mack,18
11,3,Run up a tree to the moon.,2021-04-01,Sarah Kendall,20
11,4,Premature conker.,2021-04-08,Mike Wozniak,6
11,4,Premature conker.,2021-04-08,Lee Mack,7
11,4,Premature conker.,2021-04-08,Charlotte Ritchie,13
11,4,Premature conker.,2021-04-08,Jamali Maddix,21
11,4,Premature conker.,2021-04-08,Sarah Kendall,23
11,5,Slap and tong.,2021-04-15,Lee Mack,12
11,5,Slap and tong.,2021-04-15,Sarah Kendall,12
11,5,Slap and tong.,2021-04-15,Mike Wozniak,14
11,5,Slap and tong.,2021-04-15,Jamali Maddix,15
11,5,Slap and tong.,2021-04-15,Charlotte Ritchie,17
11,6,Absolute casserole.,2021-04-22,Charlotte Ritchie,11
11,6,Absolute casserole.,2021-04-22,Lee Mack,13
11,6,Absolute casserole.,2021-04-22,Sarah Kendall,16
11,6,Absolute casserole.,2021-04-22,Jamali Maddix,17
11,6,Absolute casserole.,2021-04-22,Mike Wozniak,17
11,7,You've got no chutzpah.,2021-04-29,Charlotte Ritchie,9
11,7,You've got no chutzpah.,2021-04-29,Jamali Maddix,12
11,7,You've got no chutzpah.,2021-04-29,Sarah Kendall,12
11,7,You've got no chutzpah.,2021-04-29,Mike Wozniak,14
11,7,You've got no chutzpah.,2021-04-29,Lee Mack,22
11,8,An orderly species.,2021-05-06,Charlotte Ritchie,11
11,8,An orderly species.,2021-05-06,Sarah Kendall,12
11,8,An orderly species.,2021-05-06,Jamali Maddix,16
11,8,An orderly species.,2021-05-06,Mike Wozniak,17
11,8,An orderly species.,2021-05-06,Lee Mack,18
11,9,Mr Octopus and Pottyhands.,2021-05-13,Lee Mack,9
11,9,Mr Octopus and Pottyhands.,2021-05-13,Jamali Maddix,13
11,9,Mr Octopus and Pottyhands.,2021-05-13,Sarah Kendall,16
11,9,Mr Octopus and Pottyhands.,2021-05-13,Mike Wozniak,18
